id,pk,forecast
450301,2,-0.003058910369873047
606601,90,0.0002327263355255127
1448902,453,-0.005911290645599365
2563301,674,-0.005631983280181885
288401,2180,-0.005197346210479736
288401,2180,0.0003898143768310547
985001,2307,-0.004242360591888428
14138401,2678,0.002851516008377075
821301,3031,-0.006304621696472168
821301,3031,-0.004855453968048096
1238901,3868,-0.0029199719429016113
1238901,3868,0.005924135446548462
1214101,3943,-0.005855202674865723
549201,5405,-0.00922250747680664
450301,5625,0.007323324680328369
16591401,5907,-0.003922700881958008
18634201,6311,0.002595365047454834
6344701,7247,0.023706018924713135
989901,7697,-0.0004932284355163574
18740601,7953,0.006323903799057007
18740601,7953,0.005618423223495483
443001,8135,-0.0037289857864379883
288401,8600,-0.005462706089019775
854901,9080,0.0012355446815490723
1831501,9542,-0.0051729679107666016
1831501,9542,-0.0005012750625610352
18048301,9708,-0.010301768779754639
406601,9898,0.007222115993499756
11188001,10747,-0.003445446491241455
2397801,11049,-0.014179468154907227
16429603,11818,-0.004855453968048096
2154001,11951,0.005931556224822998
383501,11986,-0.0028284192085266113
606601,12235,0.01318669319152832
792201,12708,0.000892937183380127
6132501,13142,-0.01468050479888916
18627601,13563,-0.00466996431350708
2143301,13751,0.00313606858253479
633801,14050,0.004221171140670776
1151101,14486,0.003581911325454712
1151101,14486,-0.003922700881958008
17096901,15767,-0.005019724369049072
6441001,16337,-0.0009168386459350586
6441001,16337,-0.005844414234161377
3082201,16399,-0.0021170973777770996
1079301,18398,0.005003243684768677
1793401,19027,0.005003243684768677
554301,19114,-0.0044266581535339355
2784501,19574,0.002516448497772217
13874301,20001,0.0023383796215057373
811301,20366,-0.0003057122230529785
6441001,20610,0.010501891374588013
673301,21342,-0.0070528388023376465
1951801,21618,-0.0020536184310913086
6317201,21773,0.008685439825057983
2518001,22604,0.008274674415588379
2518001,22604,-0.002543032169342041
16037601,22972,-0.00897979736328125
16037601,22972,-0.005019724369049072
3082201,23431,0.011223435401916504
14504901,23468,-0.016353309154510498
13672501,24862,0.001524120569229126
1079301,24897,0.016651570796966553
1079301,24897,0.019969969987869263
460501,26313,-0.0077010393142700195
6318501,26318,-0.003812432289123535
1151101,26757,-0.005844414234161377
228501,27384,0.007614552974700928
876201,27430,0.009988188743591309
876201,27430,0.014437556266784668
1793401,27633,-0.015599310398101807
1357001,28562,0.003183126449584961
2909901,28578,0.001558750867843628
16591401,29206,-0.009475946426391602
3005901,29638,-0.009492337703704834
13966501,30638,-0.005181312561035156
13966501,30638,-0.0028746724128723145
13966501,30638,-0.005233049392700195
450301,30710,0.007323324680328369
383501,30839,0.0007242560386657715
383501,30839,-0.0023506879806518555
17788401,31044,0.004005134105682373
17788401,31044,0.005344092845916748
10536501,31810,0.001527935266494751
16429601,32492,-0.002031266689300537
353201,32870,0.0035020411014556885
353201,32870,0.002270251512527466
1371403,33496,-0.01666271686553955
578301,33543,-0.00016176700592041016
578301,33543,-0.004707932472229004
16591401,34391,-0.0007582306861877441
15093701,34902,-0.004256188869476318
613601,35619,-0.00973135232925415
17850701,35990,-0.0016199946403503418
288401,36807,-0.0016446113586425781
11931401,37049,-0.008659541606903076
11931401,37049,-0.009286344051361084
436701,37076,-0.0004736781120300293
650201,37460,-0.00022965669631958008
6408801,38139,0.0014686286449432373
281701,38383,-0.0025780797004699707
281701,38383,-0.005563259124755859
281701,38383,-0.0055768489837646484
281701,38827,-0.0003733634948730469
1792801,39632,0.0005209445953369141
327801,41226,-0.006456851959228516
327801,41226,-0.00821298360824585
523401,42052,-0.0007582306861877441
606601,42057,0.002809464931488037
138001,42360,-0.0008009672164916992
138001,42360,-0.0046370625495910645
2784501,42698,0.000810474157333374
11106401,42837,0.002426058053970337
2986801,43522,-0.011841416358947754
606601,43981,-0.002927720546722412
600801,44190,0.0010498464107513428
2535601,45114,-0.012676775455474854
499001,45267,-0.005860567092895508
324301,46337,-0.0072252750396728516
31605601,46633,-0.0006392002105712891
1795601,47051,-0.00560605525970459
1795601,47051,-0.01609671115875244
17530701,47251,0.0020234882831573486
1158401,47419,-0.009003639221191406
17071401,48195,-0.00467228889465332
16591401,49261,-0.001284182071685791
606601,49431,-0.005000770092010498
1428201,49916,0.003178417682647705
1831501,50578,0.0031897127628326416
556804,50832,-0.005501508712768555
556804,50832,-0.011780202388763428
556804,50832,0.002627074718475342
1049901,51273,-0.00461125373840332
844601,51366,-0.002920210361480713
1426904,51903,-0.005941927433013916
141402,54273,0.0001857280731201172
2385601,55332,0.024192720651626587
2987501,55472,-0.01029127836227417
1151101,56098,-0.00897979736328125
1151101,56098,-0.005019724369049072
1974490,56194,-0.012549221515655518
6441001,56239,-0.014055430889129639
1151101,56672,0.004500359296798706
19935601,57107,-0.007465362548828125
1125901,57819,-0.006975650787353516
3167301,58000,-0.006052076816558838
1808601,58579,-0.004553318023681641
1808601,58579,0.002677410840988159
